ID	Snooker	Name	Country	Latitude	Longitude	10' tables	12' tables	Address	Phone number	Website	POI id
1896	1	Annex Billiards Club	CAN	43.6654322	-79.4083095			507 Bloor St W, Toronto, ON M5S 1Y2, Canada	(416) 972-6588	 	ChIJx_YfAZQ0K4gRgnF6D4XPzLY	
1897	1	Bigwigs Billiards	CAN	44.0769514	-79.4269744			1220 Stellar Dr, Newmarket, ON L3Y 7B9, Canada	(905) 868-9500	http://www.bigwigs.ws/	ChIJC9wL7J_NKogReUw6gxGtyLc	
1898	1	Brass Monkey Bar & Billiards	CAN	45.3248566	-75.7795627			250 Greenbank Rd, Nepean, ON K2H 8X4, Canada	(613) 820-4889	http://www.brassmonkeybilliards.com/	ChIJnYzgmlsHzkwRPfNNPXmgQrA	
1899	1	Captain’s Snooker Club	CAN	43.5998834	-79.5931409			966 Dundas St E, Mississauga, ON L4Y 4H5, Canada	(905) 272-0162	http://www.captainsnooker.com/	ChIJS8aKLr1HK4gRgeoywQAWPuU	
1900	1	Century Billiards	CAN	43.6971978	-79.7481314			252 Queen St E, Brampton, ON L6V 1C1, Canada	(905) 457-0069	 	ChIJEQ5C0_MVK4gRjdcNUeDZXfw	
1901	1	Danny Greens	CAN	43.6817484	-79.3316502			1218 Danforth Ave, Toronto, ON M4J 1M6, Canada	(416) 462-3733	 	ChIJeYCLz3zM1IkR-pi65raCoyQ	
1902	1	Dunlop Billiards	CAN	44.3760951	-79.718125			445 Dunlop St W, Barrie, ON L4N 1C3, Canada	(705) 733-0200	 	ChIJkTubv0e9KogRQcLm5B7IOOk	
1903	1	Formac Billiards	CAN	43.3365072	-79.8177758			1400 Plains Rd E, Burlington, ON L7R 3P8, Canada	(905) 333-0305	https://www.facebook.com/FormacBilliards	ChIJRxxNVf1hK4gRmbBaAxvYnrs	
1904	1	Frederick Mall Billiards	CAN	43.4572411	-80.4733525			385 Frederick Street, Kitchener, ON N2H 2P2, Canada	(519) 745-4355	http://www.frederickbilliards.ca/	ChIJXdLWaLz0K4gRiNiKTYnmVl0	
1905	1	High Ball Billiards	CAN	46.314592	-79.4613638			236 2nd Ave W, North Bay, ON P1B 3K9, Canada	(705) 495-2255	 	ChIJYw6AYZmqKU0RzKm3PCGZ1nQ	
