ID	Snooker?	Name	Country	Latitude	Longitude	10' tables	12' tables	Address	Phone number	Website	POI id
	1	Halifax Snooker Club	GBR			0	21	"Halifax Snooker Club, 70 Commercial St, Halifax, West Yorkshire HX1 2JE, UK"	01422 360913		
	1	Flush Snooker Centre	GBR			0	9	"Wakefield Road, Liversedge, West Yorkshire WF15 6AU, United Kingdom"	01924 400802		
	1	Pot Black Snooker	GBR			0	5	"Westgate, Bradford BD1 2RD, United Kingdom"	01274 722670		
	1	Five Leisure Snooker & Amusement Centre	GBR			0	9	"61-67 Carlisle Road, Bradford BD8 8BE, United Kingdom"	01274 491079		
	1	Melton Snooker Club	GBR			0	5	"29 Market Place, Melton Mowbray LE13 1XD, United Kingdom"	01664 500041	http://www.meltonsnookerclub.com/	
	1	147 Snooker	GBR			0	8	"37-43 Rutland Street, City Centre, Leicester LE1 1RE, United Kingdom"	0116 253 8663		
	1	Breakers	GBR			0	8	"Belgrave Gate, Leicester, Leicester LE1 3HS, United Kingdom"	0116 253 8006		
	1	The First Break Snooker Club	GBR			0	10	"6 Pomeroy Drive, Oadby, Leicester LE2 5NE, United Kingdom"	0116 271 0594		
	1	The Grosvenor Snooker Club	GBR			0	10	"1269 Melton Road, Leicester, Syston LE7 2EN, United Kingdom"	0116 260 2503		
	1	Top Spot 97 Club	GBR			0	18	"Station Road, Leicester LE3 8BQ, United Kingdom"	0116 231 4215		
	1	Boston Snooker Centre	GBR			0	10	"Artillery Row, Boston, Lincolnshire PE21 6TY, United Kingdom"	01205 369018	http://www.bostonsnookerleague.co.uk/	
	1	Grove Mill Snooker Ltd	GBR			0	9	"Raglan Road, Retford DN22 6LN, United Kingdom"	01777 704948	http://www.grovemillsnooker.co.uk/	
	1	Wallasey Snooker Centre	GBR			0	9	"96 King Street, Wallasey, Merseyside CH44 8AN, United Kingdom"	0151 638 1570	http://pot-shots.co.uk/	
	1	Rhos Snooker Club	GBR			0	8	"26 Market Street, Rhosllanerchrugog, Wrexham, Clwyd LL14 1AF, United Kingdom"	01978 843223		
	1	On Cue Snooker Club	GBR			0	7	"53A Whitby Rd, Ellesmere Port CH65 8AB, United Kingdom"	0151 356 0509		
	1	City Snooker Club High St	GBR			0	2	"128 High Street, Bangor, Gwynedd LL57 1NT, United Kingdom"	07706 157842		
	1	Cues	GBR			0	2	"Towyn Road, Towyn, Abergele, Clwyd LL22 9EN, United Kingdom"	01745 343989		
	1	The George Scott Snooker Club	GBR			0	25	"29 Derby Lane, Liverpool, Merseyside L13 6QA, United Kingdom"	0151 228 5864	http://www.scottiessnooker.com/	
	1	The New World Snooker Club	GBR			0	11	"1-10 Opal Mews, Ilford IG1 4BZ, United Kingdom"	020 8514 6054	http://www.newworldsnooker.com/	
	1	Knights Snooker Hall	GBR			0	10	"127-133 High Street, Hornchurch, Essex RM11 1TX, United Kingdom"	01708 443966	http://knightssnooker.com/	
	1	Erith Snooker Centre	GBR			0	7	"5 Pier Road, Erith DA8 1TA, United Kingdom"	01322 337081		
	1	Enfield Snooker Club	GBR			0	4	"4A Market Chambers, Enfield Town, Middlesex EN2 6AA, United Kingdom"	020 8363 7268	https://www.facebook.com/enfield.snooker	
	1	Harringey Snooker Club	GBR			0	7	"1 - 5, Salisbury Promenade, Green Lanes, Harringay, London N8 0RX, United Kingdom"	020 8802 6259	http://www.haringeysnooker.co.uk/	
	1	Kings Cross Snooker Club	GBR			0	10	"368 Gray's Inn Road, London WC1X 8BB, United Kingdom"	020 7278 7079	http://www.hurricaneroom.co.uk/kingscross/index_orig.shtml	
	1	Mile End American Pool & Snooker	GBR			0	3	"229 Mile End Rd, London E1 4AA, United Kingdom"	020 7265 8506	http://www.mileendsnooker.co.uk/	
	1	Hurricane Room Tooting	GBR			0	7	"2A Lynwood Road, London SW17 8SB, United Kingdom"	020 8672 2697	http://www.hurricaneroom.co.uk/tooting-hurricane-room-intro/	
	1	Whetstone Snooker Club	GBR			0	10	"1314 High Road, London N20 9HJ, United Kingdom"	020 8446 7375	https://www.facebook.com/pages/Whetstone-Snooker-Club/164068516971321	
	1	Frames Snooker Club	GBR			0	15	"202 Brighton Road, Coulsdon CR5 2NF, United Kingdom"	020 8660 7660	http://www.framessportsbar.co.uk	
	1	Petts Wood Snooker	GBR			0	11	"Queensway, Orpington, Kent BR5 1DB, United Kingdom"	01689 829957	http://www.pettswoodsnooker.co.uk/	
	1	Leighton Buzzard Snooker Club	GBR			0	9	"6 Dudley Street, Leighton Buzzard, Bedford LU7 1SE, United Kingdom"	01525 383113		
	1	Rainbow Snooker Club	GBR			0	11	"35-37 Whitworth Street West, Manchester M1 5NG, United Kingdom"	0161 228 7967		
	1	Swinton Leisure Centre	GBR			0	11	"1 Wellington Road, Swinton, Manchester M27 4BR, United Kingdom"	0161 794 0672	http://www.swintonleisure.co.uk/	
